SCATS Number,Date,interval_id,time_of_day,traffic_volume,data_source
970,2006-10-01,0,00:00,66.0,original
970,2006-10-01,1,00:15,62.0,original
970,2006-10-01,2,00:30,50.0,original
970,2006-10-01,3,00:45,44.0,original
970,2006-10-01,4,01:00,45.0,original
970,2006-10-01,5,01:15,36.0,original
970,2006-10-01,6,01:30,30.0,original
970,2006-10-01,7,01:45,26.0,original
970,2006-10-01,8,02:00,22.0,original
970,2006-10-01,9,02:15,20.0,original
970,2006-10-01,10,02:30,19.0,original
970,2006-10-01,11,02:45,19.0,original
970,2006-10-01,12,03:00,19.0,original
970,2006-10-01,13,03:15,21.0,original
970,2006-10-01,14,03:30,15.0,original
970,2006-10-01,15,03:45,12.0,original
970,2006-10-01,16,04:00,16.0,original
970,2006-10-01,17,04:15,16.0,original
970,2006-10-01,18,04:30,14.0,original
970,2006-10-01,19,04:45,10.0,original
970,2006-10-01,20,05:00,12.0,original
970,2006-10-01,21,05:15,15.0,original
970,2006-10-01,22,05:30,15.0,original
970,2006-10-01,23,05:45,20.0,original
970,2006-10-01,24,06:00,17.0,original
970,2006-10-01,25,06:15,28.0,original
970,2006-10-01,26,06:30,45.0,original
970,2006-10-01,27,06:45,35.0,original
970,2006-10-01,28,07:00,35.0,original
970,2006-10-01,29,07:15,41.0,original
970,2006-10-01,30,07:30,51.0,original
970,2006-10-01,31,07:45,53.0,original
970,2006-10-01,32,08:00,50.0,original
970,2006-10-01,33,08:15,63.0,original
970,2006-10-01,34,08:30,76.0,original
970,2006-10-01,35,08:45,94.0,original
970,2006-10-01,36,09:00,103.0,original
970,2006-10-01,37,09:15,106.0,original
970,2006-10-01,38,09:30,149.0,original
970,2006-10-01,39,09:45,163.0,original
970,2006-10-01,40,10:00,166.0,original
970,2006-10-01,41,10:15,182.0,original
970,2006-10-01,42,10:30,188.0,original
970,2006-10-01,43,10:45,186.0,original
970,2006-10-01,44,11:00,197.0,original
970,2006-10-01,45,11:15,206.0,original
970,2006-10-01,46,11:30,213.0,original
970,2006-10-01,47,11:45,232.0,original
970,2006-10-01,48,12:00,249.0,original
970,2006-10-01,49,12:15,242.0,original
